Country Name;Country Code;GDP(US)
Aruba;ABW;
Afghanistan;AFG;19362969582
Angola;AGO;105750987619
Albania;ALB;15102500898
Andorra;AND;3236543909
Arab World;ARB;2774878865337
United Arab Emirates;ARE;414178942592
Argentina;ARG;519871519808
Armenia;ARM;12433089919
American Samoa;ASM;636000000
Antigua and Barbuda;ATG;1610574074
Australia;AUS;1433904348500
Austria;AUT;455285818035
Azerbaijan;AZE;46939529412
Burundi;BDI;3036931818
Belgium;BEL;542761092103
Benin;BEN;14250985959
Burkina Faso;BFA;14124775069
Bangladesh;BGD;274024958966
Bulgaria;BGR;65132951116
Bahrain;BHR;37746196809
Bahamas, The;BHS;12424500000
Bosnia and Herzegovina;BIH;20161865419
Belarus;BLR;60031262269
Belize;BLZ;1871203164
Bermuda;BMU;
Bolivia;BOL;40287647757
Brazil;BRA;1885482534238
Barbados;BRB;5145000000
Brunei Darussalam;BRN;13567351175
Bhutan;BTN;2446674101
Botswana;BWA;18616018903
Central African Republic;CAF;2219894702
Canada;CAN;1713341704877
Central Europe and the Baltics;CEB;1632912822080
Switzerland;CHE;705140354166
Channel Islands;CHI;
Chile;CHL;298231133533
China;CHN;13608151864638
Cote d'Ivoire;CIV;43007047822
Cameroon;CMR;38675205293
Congo, Dem. Rep.;COD;47227535291
Congo, Rep.;COG;11263682694
Colombia;COL;331047040088
Comoros;COM;1177955049
Cabo Verde;CPV;1976814277
Costa Rica;CRI;60130106116
Caribbean small states;CSS;73523538155
Cuba;CUB;100023000000
Curacao;CUW;3127908038
Cayman Islands;CYM;
Cyprus;CYP;24961988663
Czech Republic;CZE;245225882903
Germany;DEU;3947620162503
Djibouti;DJI;2955912228
Dominica;DMA;550892593
Denmark;DNK;355675329086
Dominican Republic;DOM;85555390387
Algeria;DZA;173757952824
East Asia & Pacific (excluding high income);EAP;16283445482041
Early-demographic dividend;EAR;11638860637328
East Asia & Pacific;EAS;25941399169292
Europe & Central Asia (excluding high income);ECA;3411063821206
Europe & Central Asia;ECS;23068772094991
Ecuador;ECU;108398058000
Egypt, Arab Rep.;EGY;250894760351
Euro area;EMU;13646587749131
Eritrea;ERI;
Spain;ESP;1419041949910
Estonia;EST;30732144529
Ethiopia;ETH;84355604753
European Union;EUU;15912779344835
Fragile and conflict affected situations;FCS;1648816969785
Finland;FIN;276743120516
Fiji;FJI;5536759659
France;FRA;2777535239278
Faroe Islands;FRO;
Micronesia, Fed. Sts.;FSM;401932279
Gabon;GAB;16853589311
United Kingdom;GBR;2855296731522
Georgia;GEO;17599660629
Ghana;GHA;65556464048
Gibraltar;GIB;
Guinea;GIN;10907214994
Gambia, The;GMB;1632823199
Guinea-Bissau;GNB;1458156026
Equatorial Guinea;GNQ;13278488567
Greece;GRC;218031844584
Grenada;GRD;1185925926
Greenland;GRL;
Guatemala;GTM;78460447920
Guam;GUM;5920000000
Guyana;GUY;3878662621
High income;HIC;54205741387665
Hong Kong SAR, China;HKG;362682018243
Honduras;HND;24024189736
Heavily indebted poor countries (HIPC);HPC;733121004374
Croatia;HRV;60971699315
Haiti;HTI;9658721169
Hungary;HUN;157882912778
IBRD only;IBD;30490736187550
IDA & IBRD total;IBT;32715463250969
IDA total;IDA;2232959313968
IDA blend;IDB;992765598596
Indonesia;IDN;1042173300626
IDA only;IDX;1240829927709
Isle of Man;IMN;
India;IND;2718732231258
Not classified;INX;
Ireland;IRL;382487490532
Iran, Islamic Rep.;IRN;
Iraq;IRQ;224228010478
Iceland;ISL;25878475760
Israel;ISR;370587977154
Italy;ITA;2083864259623
Jamaica;JAM;15713908816
Jordan;JOR;42231295775
Japan;JPN;4971323079772
Kazakhstan;KAZ;179339994859
Kenya;KEN;87908262520
Kyrgyz Republic;KGZ;8092836609
Cambodia;KHM;24542474061
Kiribati;KIR;188284519
St. Kitts and Nevis;KNA;1010822222
Korea, Rep.;KOR;1619423701170
Kuwait;KWT;140645364238
Latin America & Caribbean (excluding high income);LAC;5223006787245
Lao PDR;LAO;17953786416
Lebanon;LBN;56639155556
Liberia;LBR;3264000000
Libya;LBY;48364208571
St. Lucia;LCA;1921848222
Latin America & Caribbean;LCN;5818831286856
Least developed countries: UN classification;LDC;1068208914673
Low income;LIC;593157306074
Liechtenstein;LIE;
Sri Lanka;LKA;88900770858
Lower middle income;LMC;6701788461303
Low & middle income;LMY;31756685657730
Lesotho;LSO;2738786278
Late-demographic dividend;LTE;22200142944953
Lithuania;LTU;53429066429
Luxembourg;LUX;70885325883
Latvia;LVA;34409229178
Macao SAR, China;MAC;55084050790
St. Martin (French part);MAF;
Morocco;MAR;117921394402
Monaco;MCO;7184844193
Moldova;MDA;11443671436
Madagascar;MDG;13853432868
Maldives;MDV;5327457150
Middle East & North Africa;MEA;3611200342310
Mexico;MEX;1220699479846
Marshall Islands;MHL;221278000
Middle income;MIC;31166563085659
North Macedonia;MKD;12672131053
Mali;MLI;17163432832
Malta;MLT;14553422929
Myanmar;MMR;71214803378
Middle East & North Africa (excluding high income);MNA;
Montenegro;MNE;5504166667
Mongolia;MNG;13066749138
Northern Mariana Islands;MNP;1323000000
Mozambique;MOZ;14717223207
